ID,Name,Owner,Mailing_Address,Phone_1,Phone_2,Email,Website,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_062019,Income_052020_062020,Income_052021_062021,Profit_052019_062019,Profit_052020_062020,Profit_052021_062021,Selected_Open,Helpfulness,Long,Lat
11,2 FOR 1 SHAWARMA,Lasandra Kerluke,1106 BLOOR ST W,5623969653,5163426452,rienu@jg.tln,A3ylgPCVuGv2i @ qwi .com,11-20 years,Y,Lease,53,17,6,163,51,78,N,N,Y,Y,Italian,N,High-end,428606,49033,323985,13096,5430,9900,Y,5,-79.43475,43.6603
12,233-PIZZA NOVA,Armandina Murphy,1 BLUE JAYS WAY,2198142583,4752398724,n@fsg.hlv,NA,1-5 years,N,Lease,45,15,3,104,7,91,Y,Y,N,N,Japanese,N,High-end,453968,229144,243716,9163,2958,4919,N,0,-79.39012,43.64168
13,241 PIZZA,Sergio Aimonetti,1349 ST CLAIR AVE W,1249464587,7419481978,dqritzjys@empgl.fet,VMWI6M0dsJqGo @ ikt .com,1-5 years,N,"Lease, want to purchase",57,11,6,75,38,61,Y,N,Y,N,Chinese,N,Average,232626,99620,92221,7568,1455,3000,N,0,-79.45064,43.67606
14,24SEVEN LOUNGE,Lourie Bednar,106 HUMBER COLLEGE BLVD,3488492694,2799438169,jgken@fmydtreqlv.egd,oyWuuTRoVZz6b @ cso .com,6-10 years,Y,Own,27,14,19,99,55,52,Y,N,Y,N,Greek,N,Low-end,263875,10711,128885,11190,2786,5465,Y,5,-79.60061,43.7312
15,254 BASEMENT,Mohamed Lehner,254 LANSDOWNE AVE,9733156549,6974955247,onmvhz@iuq.uhk,X2GZqJyuOqzWr @ zfj .com,6-10 years,N,Own,13,14,16,165,18,68,Y,N,Y,N,Mexican,N,Low-end,140382,11375,12766,4289,296,390,N,0,-79.44033,43.65117
16,3 BRASSEURS,Antonetta Grimes,2 LIBERTY ST,8619312439,4136496521,yimqszdbah@qvuietapw.zfw,BC9Af9fLXcKN7 @ weq .com,Under 1 year,N,Lease,33,15,8,113,34,74,Y,Y,Y,N,Greek,N,Average,384135,56470,52429,11334,1481,1547,N,0,-79.41996,43.63871
17,3 EGGS ALL DAY PUB & GRILL,Stephan Funk,936 EGLINTON AVE W,9384618396,2572483246,t@ar.jxu,pc5BU2MMRjk7T @ gww .com,1-5 years,Y,Own,20,12,5,86,1,56,Y,N,N,N,Vietnamese,Y,Average,497084,241406,130406,19659,9806,5157,Y,3,-79.42851,43.70059
18,3030,Bobbye Breitenberg,3030 DUNDAS ST W,3465684135,7613172375,bkejnvpxsh@lrazkwpb.knt,FDqPwKuL9C3KE @ tyg .com,6-10 years,Y,Lease,36,18,66,97,69,56,Y,Y,Y,Y,Chinese,N,Low-end,254722,25233,189992,5141,868,3835,Y,5,-79.4705,43.66583
19,32 CHICKEN ST,Antone McDermott,409 COLLEGE ST,5786423589,9634823256,lck@qk.tmj,GPPzgr41AEEGY @ uvt .com,1-5 years,Y,Lease,21,19,12,75,29,96,Y,N,N,Y,Japanese,N,High-end,614514,151904,132685,23959,11346,5173,N,0,-79.40656,43.65653
20,360 RESTAURANT,Dennis Hane,"301 FRONT ST W, CN TOWER",1766314126,8494725321,esqjnvod@wsdx.uei,ah0lYWhNgqY3a @ ycm .com,1-5 years,N,Own,13,4,18,163,38,51,N,Y,Y,N,Others,N,Low-end,196518,98577,100695,7662,786,3926,N,0,-79.38844,43.64372
21,365 BAR & GRILL,Hans Beer,210 MARKHAM RD,6211234193,1828498714,dmwvhqct@afgwrcpjl.vui,Re8804odKctcT @ bja .com,11-20 years,N,Lease,45,12,24,123,3,64,Y,N,N,N,Japanese,Y,Low-end,126563,54771,89211,4517,688,3184,Y,5,-79.2193,43.74408
22,369 MAZEL,Keena Crona,2326 DANFORTH AVE,5967684289,9518313172,gifelobqt@z.ogk,YsmjYTXlm9get @ xzn .com,1-5 years,Y,Own,43,14,60,166,50,57,Y,Y,Y,N,Mexican,N,Low-end,247469,75804,222290,7738,418,6951,Y,2,-79.30711,43.68727
23,416 SNACK BAR,Raleigh Barrows,181 BATHURST ST,9322617968,7549618193,vu@hxbcdlm.eif,9h4UwFn1yTlHT @ zhb .com,1-5 years,N,Own,10,19,4,155,18,83,Y,N,N,Y,Italian,N,High-end,433058,39612,308162,15458,4990,11000,Y,1,-79.404,43.64755
24,4C BROAST CHICKEN COFFEE AND COLD CORNER,Tonja Roberts,3879 LAWRENCE AVE E,2897323592,8193265241,jpzmciao@tcbsnfje.iqf,MbeE43b38Ss9H @ bkh .com,1-5 years,Y,"Lease, want to purchase",65,14,64,88,26,80,N,N,Y,N,Mexican,Y,High-end,761752,101845,633675,23820,8863,19815,Y,5,-79.20883,43.76335
25,4C Broast Chicken,Zane Pfannerstill,1758 LAWRENCE AVE E,5418323958,5195825416,civr@scuk.oag,rAQiDsuojoHN2 @ qha .com,Under 1 year,Y,Lease,45,12,60,156,68,54,N,N,Y,N,Thai,N,High-end,510961,59634,481689,16624,2042,15672,Y,4,-79.30782,43.74285
26,4C Broast Chicken,Ailene Koelpin,1093 O'CONNOR DR,5727834392,4876539745,zx@h.vdx,V3he6eJYruBjJ @ ucf .com,1-5 years,N,Lease,26,18,48,142,33,52,Y,N,N,Y,Korean,Y,Average,331445,149311,324747,12557,2853,12303,Y,1,-79.30892,43.71022
27,5  POINTS BAR & GRILL,Rigoberto McCullough,636 VAUGHAN RD,6357632467,2519166187,kiyct@wugjbpfmqk.exj,zaS7YWNxV6BzN @ ncg .com,1-5 years,Y,Own,18,3,6,152,11,83,Y,N,N,Y,Vietnamese,Y,Low-end,122655,32930,32971,3990,154,1072,N,0,-79.44145,43.69269
28,5 ELEMENTS ESPRESSO BAR,Calista Thompson,131 AVENUE RD,2357489324,5724527356,oqpmr@vlo.nem,RdeGkGfDNGlsS @ yie .com,1-5 years,N,Own,69,19,1,101,59,84,Y,N,Y,N,Japanese,Y,High-end,448512,175245,394950,13234,4058,11653,Y,2,-79.39587,43.6738
29,5 SPICE DINING,Landon Stokes,2826 MARKHAM RD,4973971794,7657451926,nwfskqeju@jn.zji,dKyiGgohKMnmk @ jgd .com,6-10 years,N,Own,51,3,17,78,42,55,Y,N,N,N,Italian,N,Average,299374,13956,14867,8990,729,446,N,0,-79.24781,43.82307
30,521 CAFE,Refugio Schuppe,521 DANFORTH AVE,7395275741,2794163897,oqdiyp@hjontdie.mvt,ZW2uNsNKQNpcv @ bsh .com,11-20 years,Y,Lease,16,14,10,71,38,60,N,N,Y,N,Greek,N,Average,199055,78361,78513,6107,1696,2409,N,0,-79.34821,43.67804
31,588,Mackenzie Rosenbaum,588 COLLEGE ST,9549467384,4618492857,ynptdiqech@qigxdrces.hsp,FDiwyUeGmMXxJ @ cir .com,1-5 years,N,Lease,5,1,19,133,51,46,Y,N,Y,N,Mediterranean,N,Average,177514,64722,68429,4490,72,1730,N,0,-79.41352,43.65529
32,7 NUMBERS,Virgil Harber,307 DANFORTH AVE,6376373916,7894719287,sevkwi@i.avl,uOjEtJsj4ebXP @ vnk .com,11-20 years,N,Lease,16,18,51,147,3,91,N,Y,Y,Y,Chinese,N,High-end,610702,39106,357334,24153,2423,14132,Y,2,-79.35385,43.67696
33,7 NUMBERS EGLINTON,Luz Haag,516 EGLINTON AVE W,2489586748,6813177365,ldvgirj@asgj.amo,NA,Under 1 year,Y,Own,60,6,27,89,14,61,N,N,N,N,Japanese,N,Low-end,125497,34798,188685,3703,1233,5567,Y,2,-79.38215,43.71025
34,7 WEST CAFE,Hal Monahan,7 CHARLES ST W,1861691587,8241523561,z@pqibez.mgj,pNjTN5XHyF5Ha @ byv .com,1-5 years,N,Own,56,15,55,72,24,62,Y,Y,Y,Y,Greek,N,Average,321906,138436,303671,10937,43,10317,Y,4,-79.38669,43.6685
35,7-ELEVEN,Kecia Abbott,328 YONGE ST,1738132761,9483489785,n@drnwivo.qwi,33UfZ2HDKooL6 @ jln .com,1-5 years,Y,"Lease, want to purchase",28,2,10,106,8,48,N,Y,N,N,Mediterranean,N,Low-end,216323,87363,89587,8555,2354,3543,N,0,-79.38163,43.65724
36,709 GREEK CAFE SHOP,Skye Leffler,709 DANFORTH AVE,6313844768,7986918436,kswi@vbtmki.glt,pKRTqfxKnE6O0 @ dhi .com,1-5 years,N,Own,18,7,1,149,58,54,Y,Y,Y,N,Chinese,Y,Average,444135,128526,133296,14824,1110,4449,N,0,-79.34344,43.67901
37,8 Noodles/Eight Noodles,Irving Feest,3309 SHEPPARD AVE E,6516177824,4238425492,lweicfn@xisragdy.vut,xXlZT7Gr0DpMR @ lgy .com,Under 1 year,N,Lease,6,4,25,167,44,95,Y,Y,Y,Y,Indian,N,Average,426562,148777,372892,11652,5400,10186,Y,5,-79.30887,43.7783
38,817 SPORTS BAR & GRILL,Juliann Runolfsdottir,817 QUEEN ST W,3584796893,9529268237,qauckzdg@kd.gis,Xqzj7MiZVs2xg @ mng .com,Over 20 years,Y,Own,67,12,3,167,1,87,Y,Y,Y,N,Others,Y,Low-end,125181,12564,13739,4742,1473,520,N,0,-79.40916,43.64604
39,850 DEGREES,Kris Tromp,3455 LAKE SHORE BLVD W,1792945746,4935244587,gwu@blsfoquph.tsb,iGfjlZEHQzsru @ qvg .com,Under 1 year,N,Lease,32,10,30,142,36,89,Y,N,N,N,Vietnamese,Y,Low-end,169779,66076,138996,5098,843,4174,Y,1,-79.52976,43.59532
40,876 JAMROCK RESTAURANT,Robbyn Konopelski,"6210 FINCH AVE W, Unit-101B",8175643814,3414182849,nyizdlaws@a.ajy,DXd3cxKSsTSMo @ puz .com,11-20 years,N,Lease,66,10,55,152,36,91,Y,Y,N,N,American,N,High-end,467196,49912,287451,17700,5360,10890,Y,1,-79.58969,43.74264
41,977 CAFE,Marlin Zboncak,977 O'CONNOR DR,5498735639,7918212756,ocirvuj@blwskdyt.dmk,ff75C6Dnhozu9 @ voo .com,1-5 years,N,Lease,12,1,60,95,26,47,Y,N,Y,N,Japanese,N,High-end,564282,100854,363644,16945,51,10920,Y,5,-79.31023,43.70851
42,98 AROMA,Azalee Marvin,440 SPADINA AVE,7894914863,5273925176,vh@mwlhxfk.ysd,NVqMd8dj8t6WN @ ghj .com,1-5 years,N,Own,65,10,18,101,18,95,Y,N,Y,N,Others,N,High-end,713552,191688,187008,21894,1039,5738,N,0,-79.3997,43.65653
43,989 HAWAII BAR,Bud Harber,989 DOVERCOURT RD,2869279618,5681935276,rae@xamv.tcg,sPIQePTEl75Qs @ lau .com,6-10 years,N,Lease,16,16,56,91,42,48,Y,N,Y,N,Thai,N,Average,387143,168686,180277,16730,9434,7790,Y,4,-79.43163,43.66702
44,99 MYTHIC TASTE - NORTH YORK,Christal Gulgowski,5418 YONGE ST,5373713571,2583681426,vpa@iszu.yzi,GTclrY2DIbzI7 @ arz .com,1-5 years,N,Own,25,6,3,104,34,97,Y,Y,Y,N,Mexican,Y,Average,192229,31049,30090,6507,323,1018,N,0,-79.41525,43.77553
45,99 SUSHI,Darren Wilkinson,170 EGLINTON AVE E,6456379176,2317983215,uicsnde@spavxi.khm,Pviv4hQxqKkmI @ wih .com,1-5 years,N,Lease,69,8,7,91,31,92,Y,N,Y,N,Italian,N,High-end,451671,76242,554121,11425,6053,14016,Y,3,-79.39322,43.70804
46,A & W,Bryce Feeney,3214 LAKE SHORE BLVD W,9651638426,7314353495,i@bnl.hqk,NA,11-20 years,N,Own,51,14,3,154,26,71,Y,Y,Y,N,Greek,Y,Average,458564,109263,109388,9359,186,2232,N,0,-79.52111,43.59752
47,A & W,Lori Price,3571 SHEPPARD AVE E,5374689548,2989241936,fijbvsx@o.jml,ZS8cUnyk9lrX6 @ dlo .com,1-5 years,Y,Lease,53,13,9,88,11,58,Y,N,N,N,Italian,N,Low-end,138312,63649,59408,4243,1590,1822,N,0,-79.29914,43.78031
48,A & W,Paulene Kihn,3318 KEELE ST,3788322854,1653495923,uzarvi@be.rga,TI3m34gqQw8Qi @ yir .com,Under 1 year,Y,Own,66,8,6,80,42,84,Y,N,Y,N,Greek,N,Average,364198,100819,96142,14540,2079,3838,N,0,-79.48393,43.73465
49,A & W,Lewis Quigley,"355 CHURCH ST, Bldg-1",9758435273,9463875379,rdeg@ro.zxr,UNAklrRMv4GiC @ buq .com,1-5 years,Y,Lease,58,13,49,137,53,67,N,N,Y,N,Japanese,N,Low-end,121974,36725,148926,3085,400,3767,Y,3,-79.37848,43.66043
50,A & W,Fausto Wolff,1896 EGLINTON AVE E,4267262651,4392847523,rulgxv@ojtycf.xmi,ytLS8ZDP4YhXY @ gob .com,6-10 years,N,Lease,64,5,12,126,9,70,Y,N,N,N,Mediterranean,N,Low-end,202899,12802,13021,6893,235,442,N,0,-79.29698,43.72645
51,A & W,Merlin Abernathy,45 OVERLEA BLVD,4365877241,1232416472,kcvlx@xefovuzqsk.uam,sffxQgtZZneYY @ wnk .com,11-20 years,N,Own,9,5,11,89,5,97,Y,N,Y,N,Greek,N,Average,452561,48289,49182,10035,4814,1090,N,0,-79.34626,43.70555
52,A & W,Natisha Mertz,605 ROGERS RD,8969784723,2369278235,qfxsgy@payshkfvd.siw,psF0xhwJq1RGG @ oun .com,11-20 years,N,"Lease, want to purchase",12,13,69,114,41,91,Y,Y,Y,N,Mediterranean,N,Low-end,150191,19236,104945,5013,1857,3502,Y,4,-79.47451,43.68162
53,A & W,King Upton,665 MARKHAM RD,4654612596,4932684873,ziwxysln@txmu.bgj,yKieqLHVdo14l @ wnp .com,1-5 years,Y,Lease,27,17,33,100,12,65,Y,N,Y,N,Indian,Y,Low-end,176900,18344,209504,4832,485,5722,Y,2,-79.22421,43.76155
54,A & W,Delisa Aufderhar,1 RICHMOND ST W,1397325721,4689811385,ezpr@dqwagh.pyf,Pon7jLxog8LoG @ hfq .com,1-5 years,Y,Own,50,4,4,98,67,43,Y,Y,Y,N,Indian,N,Low-end,215109,33760,37814,9295,1945,1634,N,0,-79.3793,43.65143
55,A & W,Jeremy Morissette,"2633 YONGE ST, Unit-2625",5294576971,6732933946,luja@egty.xwt,IoESyQBHs9DZf @ tdf .com,Under 1 year,N,Lease,56,7,15,129,27,79,Y,N,Y,N,Mexican,N,Average,371393,18294,20661,12494,7508,695,N,0,-79.39991,43.71537
56,A & W,Lakeesha Greenfelder,85 DANFORTH AVE,5796875129,7563741687,yxuearswhb@cbfovuz.rqt,cqng5L2cn0hdu @ jmq .com,1-5 years,N,Own,65,18,57,72,31,85,Y,Y,Y,N,Chinese,Y,Average,496971,187296,392816,20665,11070,16334,Y,3,-79.35889,43.67597
57,A & W,Wesley Stokes,"75 BILLY BISHOP WAY, Unit-B7",4526484691,3796326845,inxdauz@idnqcuxy.wcv,KSUVh6oQJLeaA @ jli .com,6-10 years,N,Lease,62,7,38,147,62,61,Y,Y,Y,N,Mexican,Y,High-end,740344,374437,490328,25154,6413,16659,Y,5,-79.45104,43.73284
58,A & W,Augustine Toy,500 BLOOR ST W,4391524836,9415437918,d@knctyb.fqg,hPqpHXRxgiSv3 @ jeu .com,Under 1 year,Y,Own,65,5,15,111,65,85,Y,Y,N,N,Chinese,Y,Low-end,130769,79632,74171,4427,1739,2511,N,0,-79.41065,43.66525
59,A & W,Reuben Hirthe,"1496 QUEEN ST W, Bldg-MAIN",3689364261,9783763859,oqn@gon.eiz,7gpO7cLjs2Lf6 @ hxd .com,11-20 years,N,Own,66,11,13,110,27,92,Y,Y,Y,N,Mediterranean,N,High-end,667603,305013,369584,22283,7988,12335,Y,5,-79.43723,43.64046
60,A & W,Jose Thompson,2856 DUNDAS ST W,3814587491,3422954793,yvhcfiwn@jy.sot,3kqJ57z6o85ik @ srj .com,6-10 years,N,Own,48,15,54,119,57,74,Y,Y,N,N,Others,Y,Average,336094,71431,297992,7491,2592,6642,Y,4,-79.4649,43.66558
61,A & W,Kennith Koss,650 1/2 QUEEN ST W,9349147296,2186148571,snbvf@ipybzvtc.zut,bvFNxn2EU2u3t @ pvn .com,1-5 years,N,Own,17,17,1,157,51,73,N,N,Y,Y,Greek,N,Low-end,248548,129752,141738,5073,1650,2893,N,0,-79.40643,43.64684
62,A & W,Wesley Wiza,3300 BLOOR ST W,4951472516,4185621738,gdihxur@skdalmcf.jkt,eN3Yg8kgU7aYl @ hsm .com,Under 1 year,N,Lease,61,1,17,154,5,60,N,Y,Y,N,Vietnamese,N,High-end,659466,338075,288351,18014,4329,7876,N,0,-79.5224,43.64549
63,A & W,Maria Dicki,8 MERCER ST,9827593275,3127183915,uposcaljm@mfhb.apz,LW8EPbNmtbnMR @ lqf .com,6-10 years,N,Own,66,5,32,100,30,70,Y,Y,N,N,Japanese,N,Average,474777,135038,231166,17960,4744,8744,Y,5,-79.38994,43.64598
64,A & W,Trevor Kertzmann,1638 AVENUE RD,1549579712,3624186781,olzydqmv@aiwkcblt.wvn,eBehgTmlWaycO @ uye .com,Over 20 years,Y,Own,63,8,22,93,55,48,Y,Y,Y,N,Italian,N,Average,310288,61294,436170,9126,2094,12829,Y,1,-79.41742,43.72582
65,A & W,Sharika Predovic,832 COLLEGE ST,7841595218,5143154752,yqldjzipf@p.ydx,wKRWIcgY6dG0H @ cwn .com,6-10 years,Y,Lease,35,8,58,85,47,49,Y,Y,N,N,Mexican,N,High-end,624499,32918,513550,26987,1212,22192,Y,3,-79.42265,43.65461
66,A & W,Eric Goldner,496 YONGE ST,8329657591,1364766451,vzma@osnzm.xda,N3AjFa8u3rS0N @ mgs .com,11-20 years,N,Own,51,14,9,134,14,56,Y,Y,Y,N,Greek,N,Average,494019,4660,4377,13250,3587,117,N,0,-79.38403,43.66309
67,A & W,Lorenzo Towne,654 DANFORTH AVE,1632768264,3574866937,rljoetnv@u.bxp,ha1tcwDT3tq8f @ cne .com,6-10 years,N,"Lease, want to purchase",9,5,9,142,40,65,Y,Y,Y,N,Mediterranean,Y,High-end,726870,61807,64037,24607,3757,2167,N,0,-79.3448,43.67917
68,A & W,Librada Wyman,35 EGLINTON AVE E,2678733681,8535462437,ychzxebui@yqnlsmg.fuy,mVO73vxNiraWL @ ggx .com,6-10 years,N,Lease,54,16,8,107,20,49,Y,Y,Y,N,Greek,N,Low-end,275444,9075,8553,10996,3761,341,N,0,-79.39693,43.70677
69,A & W,Avril Gutmann,368 QUEEN ST W,9138123215,3644564193,m@peojswz.vnz,er4BHYws3wgLQ @ xgh .com,1-5 years,N,Own,10,17,64,165,59,92,N,N,N,N,Korean,Y,Average,231896,27421,159187,6201,725,4256,Y,4,-79.39578,43.64886
70,A & W,Winford Greenfelder,"1585 WARDEN AVE, Unit-4",8923626189,6254635476,sq@wkhryucepm.wxi,NA,1-5 years,N,Own,17,2,44,111,17,76,N,Y,Y,N,Others,N,Average,321523,8082,255084,10530,2116,8354,Y,4,-79.30181,43.76624
71,A & W,Deedee Schinner,"2300 YONGE ST, Unit-21",5743194657,9769627641,lx@uywgfl.zjg,47oyMUWDIYODw @ vdh .com,1-5 years,Y,Lease,39,17,12,140,68,55,N,Y,Y,N,Korean,N,Average,451363,64999,64969,12701,2226,1828,N,0,-79.39908,43.70716
72,A & W 4458,Tony Swift,"1400 NEILSON RD, Unit-B1",1849415136,2132763681,rf@xn.olj,rbfeMpv5Wj3cs @ hby .com,1-5 years,Y,Lease,21,2,8,102,52,50,Y,N,Y,N,Japanese,Y,Average,206956,117402,101494,7514,838,3685,N,0,-79.22282,43.80918
73,A & W RESTAURANT,Hortencia Romaguera,"1115 BLOOR ST W, Unit-4",7298319457,4926946941,c@dmvgf.vfk,Mk1HFNEnjug6o @ mgj .com,Under 1 year,N,Lease,10,1,21,149,28,95,Y,Y,Y,N,Chinese,N,Low-end,147456,19651,131573,3269,668,2917,Y,2,-79.43477,43.65993
74,A + W,Julee Barrows,1277 YORK MILLS RD,7158646589,5496143824,agzkcqs@akoctdzh.bpr,hGfUcwj9oydaY @ gmo .com,1-5 years,Y,Lease,52,8,15,74,23,67,Y,N,Y,N,Indian,Y,Low-end,127067,44267,44078,4274,972,1482,N,0,-79.32521,43.76055
75,A I SUSHI,Olevia Rice,5085 SHEPPARD AVE E,7854686983,6588174837,ipjc@db.jao,J7X2nRyUyqjqQ @ zqw .com,11-20 years,N,"Lease, want to purchase",55,1,44,142,40,51,Y,N,N,N,Indian,N,Low-end,130415,51823,177583,5422,2211,7384,Y,5,-79.24088,43.79262
76,A LA TURK,Lissa Wolff,3443 YONGE ST,1378499768,2571681289,ejbtvsqdyn@nsaeg.cxe,voKFxxPtK37zo @ wfy .com,1-5 years,Y,Own,51,9,16,101,24,71,Y,Y,N,N,Indian,N,Average,357232,93867,92035,11348,3156,2923,N,0,-79.40423,43.73358
77,A PLUS DELI,Sal Thompson,180 DUNCAN MILL RD,8368648492,6218617254,xqsek@vezjhsda.wmr,j2lnJ01NUlKfg @ kjq .com,11-20 years,Y,Lease,35,4,58,148,13,48,Y,Y,N,N,Others,N,Low-end,163825,18177,171168,3651,2357,3815,Y,5,-79.35407,43.76256
78,A& W,Monte Hirthe,359 BROADVIEW AVE,7895713586,5429253874,q@p.rfq,irQeDftiflQEs @ ozw .com,Under 1 year,N,Own,18,10,11,140,43,52,Y,N,Y,N,Chinese,N,Low-end,227322,26843,28568,8599,3126,1080,N,0,-79.35239,43.66536
79,A&W,Carmelia Bins,"1190 DANFORTH AVE, Bldg-1190",7193168927,7935721849,kmfyx@ujh.zwf,Jdwtizs0PIBDP @ wyy .com,6-10 years,Y,Lease,12,8,25,81,67,62,Y,Y,Y,N,Japanese,Y,Average,521235,25564,207471,13007,3558,5177,Y,1,-79.33224,43.68174
80,A&W,Syble Kovacek,1606 DANFORTH AVE,6731792348,3525393147,pshejrbcl@onuc.xoq,DrusopS1jjdXo @ oze .com,6-10 years,N,Lease,49,4,69,86,39,65,Y,N,Y,Y,Thai,Y,Average,461379,54791,235971,12616,508,6452,Y,5,-79.32312,43.68373
81,A&W,Regenia Waelchi,659 DUPONT ST,9319738364,1924836129,z@whjzgt.ecf,v6gWlxGSkfIUm @ kew .com,1-5 years,N,Own,19,15,11,162,65,63,Y,N,Y,N,Vietnamese,N,Average,230079,70319,71060,10334,3713,3191,N,0,-79.42165,43.67142
82,A&W,Chana Mayer,"1118 FINCH AVE W, Unit-1",5839159237,6824965327,kypfocjtmh@atbrox.xmn,vNecGLJmLHcwj @ gdg .com,Under 1 year,N,Lease,10,15,37,72,60,87,Y,Y,N,Y,Indian,N,Average,210668,20956,290088,5385,54,7415,Y,5,-79.47478,43.76733
83,A&W,Aldo Stracke,505 JARVIS ST,4237388326,3564374791,xs@rvyltk.wda,YFpvUEe6cmlXd @ dnn .com,1-5 years,N,Lease,51,5,69,125,2,90,Y,Y,Y,N,American,Y,Average,223182,8329,298598,4965,1701,6642,Y,4,-79.37803,43.66664
84,A&W RESTAURANT,Kirstie Schamberger,"2151 ST CLAIR AVE W, Bldg-0",5497836193,3279615382,vg@wo.sox,lsL8DoFPMfucC @ mjw .com,1-5 years,N,Lease,43,8,12,86,33,58,Y,Y,N,Y,Greek,N,High-end,654172,187213,161259,13352,3401,3291,N,0,-79.4731,43.6709
85,A+ SUSHI & BIBIM,Helena Blick,1345 QUEEN ST W,9473873469,7464134952,rql@ljvksa.atu,P5ZP74qud3mhH @ dyv .com,11-20 years,N,Lease,35,4,15,136,34,61,Y,N,Y,N,Japanese,N,Low-end,207915,45067,40543,6115,2104,1192,N,0,-79.43438,43.64105
86,A-GAME CAFE,Georgine Cormier,797 DUNDAS ST W,2514536859,6319317983,fnjpeqigdk@w.mcv,NA,1-5 years,Y,Lease,7,12,35,138,20,66,Y,Y,Y,Y,Japanese,Y,Low-end,177723,80494,97838,4766,1170,2624,Y,5,-79.40791,43.65172
